0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,(Seasonal Indices) (1),,,,,,,,
,,,,,,,,,,,,,Seasona-,Coefficient
,,,,,,,,,,,,,lity ratio,of Seasonal
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,(2),Variation (3)
1970,134,141,125,85,97,56,67,87,80,88,95,145,1.4,28
1971,179,199,156,47,29,29,57,75,57,78,121,173,2.0,60
1972,123,125,119,66,70,50,79,99,73,96,132,168,1.7,33
1973,145,129,121,84,66,50,91,103,64,91,110,146,1.5,30
1974,154,136,139,90,46,47,76,87,70,88,118,149,1.5,37
1975,137,121,130,68,65,56,69,100,62,87,131,174,1.7,44
1976,158,153,135,90,62,46,43,35,68,107,137,166,1.7,47
1977,137,141,143,77,59,43,77,87,59,90,134,153,1.5,37
1978,144,140,128,73,55,44,82,97,64,89,129,155,1.6,36
1979,136,121,122,90,63,51,81,97,71,93,123,152,1.5,30
1980,135,126,128,81,73,57,86,102,74,88,108,142,1.4,27
1981,146,127,124,92,70,54,92,106,78,87,96,127,1.5,26
1982,121,118,124,88,85,77,91,101,88,89,99,119,1.2,16
1983,175,156,159,116,117,87,89,30,36,58,73,104,1.7,45
1984,127,122,123,89,69,68,101,104,82,98,105,112,1.3,19
1985,134,126,139,92,65,52,86,94,71,85,108,148,1.5,30
1986,172,159,151,101,68,50,64,79,65,66,94,131,1.7,41
1987,167,156,150,106,54,50,67,75,66,80,93,135,1.7,40
1988,134,126,128,91,73,76,116,123,98,110,69,56,1.3,25
1989,84,80,104,80,83,75,99,112,93,98,123,169,1.7,25
1990,107,106,109,92,74,73,106,108,90,93,99,143,1.4,18
1991,109,106,103,78,67,66,115,109,94,95,107,151,1.5,22
1992,108,118,101,86,64,70,103,122,91,97,109,125,1.3,18
1993,131,123,116,91,68,62,101,100,84,94,107,123,1.3,21
1994,134,121,122,83,64,63,104,97,91,98,98,126,1.3,22
1995,137,127,119,100,73,67,107,107,92,91,84,95,1.4,21
1996,123,117,105,81,70,78,101,98,92,93,99,142,1.4,20
1997,107,115,112,88,73,76,101,105,98,93,105,128,1.3,16
1998,117,111,102,81,64,71,93,99,100,100,121,142,1.4,21
1999,122,114,113,95,69,72,92,107,93,97,115,111,1.2,16
2000,130,130,121,101,70,66,100,104,93,80,98,105,1.3,20
2001,157,166,158,131,96,101,102,56,42,46,62,83,1.4,43
2002,86,97,101,83,81,80,109,108,101,111,114,129,1.5,15
2003,97,94,98,81,72,76,105,101,86,120,132,138,1.4,23
2004,106,92,81,65,64,68,107,103,109,126,138,140,1.4,26
2005,114,115,120,109,96,96,121,116,84,85,82,86,1.1,15
2006,112,113,117,107,94,94,119,114,83,83,81,84,1.2,15
2007,137,105,85,80,64,75,107,109,90,90,110,148,1.5,25
2008,156,111,104,81,85,77,90,84,81,96,101,134,1.6,24
2009,103,92,91,70,66,81,113,110,102,101,119,152,1.5,23
2010,93,105,96,70,65,82,116,110,87,96,132,155,1.6,25
2011,104,92,105,89,69,75,117,102,84,98,127,137,1.4,20
2012,102,100,109,83,69,78,108,95,85,96,130,146,1.5,22
2013,104,107,107,76,70,85,101,116,85,101,103,145,1.4,20
2014,115,111,104,88,70,81,105,110,82,95,94,140,1.4,19
(1),Seasonal indices are compiled by taking average arrivals per month as 100,,,,,,,,,,,,,
