0,1,2,3,4
,Monthly Tourist Arrivals Report | February 2022,,,
,Monthly Tourist Arrivals Report | February 2022,,,
A,"ccordingly, a protracted absence of Eastern European travellers, especially from Russia",,,
,and Ukraine is to be anticipated given the nature of crisis in Ukraine and its current and,,,
,future implications.  The market share of Russia and Ukraine out of total arrivals for year,,,
,"2019 was 6.3 % while the market share for 2021 was 12.2%. Therefore, it is high time to",,,
,diversify the markets and concentrate on new primary and potential markets   with larger,,,
,"economies, large outbound populations and high yield.",,,
References,,,,
U,"nnikrishnan,M.,2022, Ukraine War and Airlines: Here’s What We Know so Far, Air Line",,,
,"Weekly, Accessed on 3rd  March 2022 https://airlineweekly.com/2022/02/ukraine-war-and-",,,
,airlines-heres-what-we-know-so-,,,
,far/?utm_campaign=Daily%20Newsletter&utm_medium=email&_hsmi=205225241&_hse,,,
,nc=p2ANqtz-8Xv_n-,,,
,YX7cg_RaUvdCBqL0_QP7KGbaCnFPcuY2ycSO6JMdjXLDHRWsHU4-,,,
,ctgM8dt0QE9nBjeQsXPVG1R2S4jUxOV4TA&utm_content=205225241&utm_source=hs,,,
_email,,,,
H,"amdi, R., 2022, Ukraine crisis tests resilience of Russian outbound travel market, TTG",,,
,"Asia,  Accessed  on  3rd    March  2022<https://www.ttgasia.com/2022/03/01/ukraine-crisis-",,,
,,,12,
,tests-resilience-of-russian-outbound-travel-market/>,,,
G,"irma,  L.,2022,  The  Impact  of  Missing  Russia  and  Ukraine  Outbound  Tourists,  Skift,",,,
,"Accessed on 3rd  March 2022,<https://skift.com/2022/03/02/the-impact-of-missing-russia-",,,
,and-ukraine-outbound-tourists/,,,
T,"TG  Asia,  2022,  Russian  invasion  triggers  a  spike  in  flight  cancellations,  TTG  Asia,",,,
Accessed,on,4th  March,"2022,<https://www.ttgasia.com/2022/03/03/russian-invasion-",
,triggers-a-spike-in-flight-cancellations/>,,,
S,"treet, F. and Hunter, M., How travel is being impacted by the Ukraine invasion,  2022,",,,
,"CNN  Travel,  Accessed  on  4th  March  2022,  <http://edition.cnn.com/travel/article/ukraine-",,,
,conflict-eastern-europe-travel/?hpt=ob_blogfooterold>,,,
,,,,11
